avg_acc,epoch,task,task_num,test_acc,test_loss
,3.0,,1.0,0.94,0.21443593975156547
94.0,,0.0,,,
,6.0,,1.0,0.94,0.20432224586606026
,6.0,,2.0,0.885,0.3859093328565359
91.25,,1.0,,,
,9.0,,1.0,0.955,0.17847673032432795
,9.0,,2.0,0.8975,0.3482436000928283
,9.0,,3.0,0.92,0.21703646942973137
92.41666666666667,,2.0,,,
,12.0,,1.0,0.955,0.180070348829031
,12.0,,2.0,0.9025,0.33952939543873073
,12.0,,3.0,0.9175,0.21833361078053712
,12.0,,4.0,0.925,0.26355528565123676
92.5,,3.0,,,
,15.0,,1.0,0.9425,0.22188409596681594
,15.0,,2.0,0.905,0.30202299028635027
,15.0,,3.0,0.935,0.1919847795367241
,15.0,,4.0,0.9275,0.25752374723553656
,15.0,,5.0,0.93,0.22526377953588964
92.79999999999998,,4.0,,,
,18.0,,1.0,0.945,0.20839515406638384
,18.0,,2.0,0.905,0.3056352462619543
,18.0,,3.0,0.925,0.20242276310920715
,18.0,,4.0,0.9325,0.22079369522631168
,18.0,,5.0,0.92,0.25118169859051703
,18.0,,6.0,0.96,0.13776278734207154
93.125,,5.0,,,
,21.0,,1.0,0.9275,0.2216494629904628
,21.0,,2.0,0.9075,0.3033800683915615
,21.0,,3.0,0.935,0.1736464250832796
,21.0,,4.0,0.9325,0.23585958786308767
,21.0,,5.0,0.9175,0.24132774747908114
,21.0,,6.0,0.9475,0.15320057570934295
,21.0,,7.0,0.9425,0.21627556163817643
93.0,,6.0,,,
,24.0,,1.0,0.9375,0.2145757019147277
,24.0,,2.0,0.91,0.2982324261963367
,24.0,,3.0,0.9475,0.15359597243368625
,24.0,,4.0,0.94,0.22112366273999215
,24.0,,5.0,0.93,0.20521158717572688
,24.0,,6.0,0.9525,0.16776660338044166
,24.0,,7.0,0.945,0.17265045069158078
,24.0,,8.0,0.935,0.2109949006512761
93.71875,,7.0,,,
,27.0,,1.0,0.94,0.21768639426678418
,27.0,,2.0,0.9175,0.2797979472577572
,27.0,,3.0,0.94,0.16800955906510354
,27.0,,4.0,0.9425,0.20090352289378643
,27.0,,5.0,0.9275,0.2041877870261669
,27.0,,6.0,0.945,0.1503608551621437
,27.0,,7.0,0.95,0.1704627811163664
,27.0,,8.0,0.93,0.22344026330858469
,27.0,,9.0,0.9425,0.18423466403037309
93.72222222222223,,8.0,,,
,30.0,,1.0,0.935,0.23858450170606374
,30.0,,2.0,0.9125,0.2806850358843803
,30.0,,3.0,0.935,0.19431050769984723
,30.0,,4.0,0.935,0.2373398043215275
,30.0,,5.0,0.93,0.21833404079079627
,30.0,,6.0,0.945,0.18137843534350395
,30.0,,7.0,0.945,0.17832185488194227
,30.0,,8.0,0.935,0.2167630249261856
,30.0,,9.0,0.945,0.1927761984243989
,30.0,,10.0,0.9325,0.20746234074234962
93.5,,9.0,,,
,33.0,,1.0,0.9325,0.24148225702345372
,33.0,,2.0,0.92,0.2717596559971571
,33.0,,3.0,0.935,0.18525930002331734
,33.0,,4.0,0.9325,0.22507496308535338
,33.0,,5.0,0.9275,0.21713444419205188
,33.0,,6.0,0.9375,0.18957843624055384
,33.0,,7.0,0.9425,0.1869575546681881
,33.0,,8.0,0.93,0.23492304239422082
,33.0,,9.0,0.9425,0.20592714741826057
,33.0,,10.0,0.9325,0.18336440827697514
,33.0,,11.0,0.92,0.23305165223777294
93.20454545454545,,10.0,,,
,36.0,,1.0,0.9375,0.23200997188687325
,36.0,,2.0,0.9225,0.271476836130023
,36.0,,3.0,0.9425,0.18437153190374375
,36.0,,4.0,0.93,0.23335186298936605
,36.0,,5.0,0.93,0.22035299181938173
,36.0,,6.0,0.925,0.1875165195018053
,36.0,,7.0,0.9375,0.21151919391006233
,36.0,,8.0,0.9175,0.2664001391083002
,36.0,,9.0,0.9425,0.21780185636132957
,36.0,,10.0,0.925,0.21755289182066917
,36.0,,11.0,0.9175,0.22371958427131175
,36.0,,12.0,0.92,0.2782052595168352
92.89583333333333,,11.0,,,
,39.0,,1.0,0.95,0.19448899693787097
,39.0,,2.0,0.9175,0.2680213692039251
,39.0,,3.0,0.945,0.18609575867652894
,39.0,,4.0,0.9275,0.22581252753734588
,39.0,,5.0,0.9225,0.2418106998503208
,39.0,,6.0,0.915,0.18332450278103352
,39.0,,7.0,0.93,0.21438154578208923
,39.0,,8.0,0.9125,0.28405744418501855
,39.0,,9.0,0.93,0.21431710794568062
,39.0,,10.0,0.9125,0.2612696599960327
,39.0,,11.0,0.935,0.2064509716629982
,39.0,,12.0,0.91,0.2794623226299882
,39.0,,13.0,0.8975,0.33585759621113537
92.34615384615384,,12.0,,,
,42.0,,1.0,0.94,0.21015457533299922
,42.0,,2.0,0.9225,0.2693909627944231
,42.0,,3.0,0.935,0.1945772024989128
,42.0,,4.0,0.935,0.23132034696638584
,42.0,,5.0,0.9275,0.22402111269533634
,42.0,,6.0,0.9225,0.17518850937485694
,42.0,,7.0,0.935,0.20524140298366547
,42.0,,8.0,0.9125,0.25870976395905015
,42.0,,9.0,0.9325,0.2174786603450775
,42.0,,10.0,0.93,0.22572287138551472
,42.0,,11.0,0.9325,0.20400899574160575
,42.0,,12.0,0.9125,0.2778832221031189
,42.0,,13.0,0.9025,0.3340835978090763
,42.0,,14.0,0.8975,0.3345195823535323
92.41071428571425,,13.0,,,
,45.0,,1.0,0.9325,0.20701921485364438
,45.0,,2.0,0.9225,0.2769014362245798
,45.0,,3.0,0.94,0.18578189067542553
,45.0,,4.0,0.9325,0.22867391031235457
,45.0,,5.0,0.9375,0.21580836027860642
,45.0,,6.0,0.9275,0.19358879692852496
,45.0,,7.0,0.9425,0.18091442719101905
,45.0,,8.0,0.9275,0.2361366143450141
,45.0,,9.0,0.9425,0.21117376159876586
,45.0,,10.0,0.9175,0.2417797503620386
,45.0,,11.0,0.9275,0.2161913513019681
,45.0,,12.0,0.9125,0.29822369799017906
,45.0,,13.0,0.9,0.31161104697734116
,45.0,,14.0,0.8975,0.3159228213876486
,45.0,,15.0,0.8975,0.32355349101126196
92.38333333333335,,14.0,,,
,48.0,,1.0,0.93,0.21038385964930056
,48.0,,2.0,0.9175,0.2785695073753595
,48.0,,3.0,0.9425,0.1820368292182684
,48.0,,4.0,0.9175,0.2539736907184124
,48.0,,5.0,0.9325,0.22928665071725846
,48.0,,6.0,0.9125,0.21142573818564414
,48.0,,7.0,0.945,0.17577230878174305
,48.0,,8.0,0.92,0.23564030662178992
,48.0,,9.0,0.93,0.21680863671004771
,48.0,,10.0,0.925,0.21232302531599997
,48.0,,11.0,0.94,0.20911214575171472
,48.0,,12.0,0.915,0.2587081833928824
,48.0,,13.0,0.905,0.3163861694931984
,48.0,,14.0,0.9075,0.29339975424110887
,48.0,,15.0,0.9075,0.2974431928247213
,48.0,,16.0,0.855,0.4234393155574799
91.89062500000001,,15.0,,,
